AL110477.2	Y113G7B
F20B4	FO081185.1
F29D11	Z73907.1
Z82090.1	ZK337
F49C8	Z92787.1
F41H8	FO081364.1
K08F8	Z66497.2
EGAP8	FO080491.1
F55G1	FO081135.1
AL021480.1	Y39E4A
K04B12	Z83232.1
FO080711.1	T17A3
F20G2	Z79753.2
F18A12	FO080567.1
C08B11	Z46676.3
AL023850.1	Y67D11A
Z73978.1	ZC302
FO080149.1	K04G7
FO081462.2	W05G11
F30D4	FO081166.1
F58B3	Z73427.1
Z69665.3	ZK897
F54H5	FO080969.2
T11B7	Z54237.1
F54A3	FO081460.1
F36A4	FO081153.1
F49E11	Z70308.1
F56D12	FO080520.2
AL032620.1	Y36E3A
AL023839.1	Y39A1C
C06C3	Z36719.1
C50E10	CU457740.1
FO081596.2	K08D10
C02E7	FO080282.1
C26C9	CU457739.1
FO081378.1	Y97E10AR
C36B1	Z80215.1
F36F2	Z81532.1
E01A2	FO081024.2
F16G10	FO081165.1
F47F6	FO081411.1
F56C3	FO081195.1
AL034365.1	Y69E1A
C24A1	FO080637.1
B0041	FO080106.1
FO080797.1	Y73C8B
T21H8	Z78546.1
FO081291.2	R07G3
R05D11	Z75546.1
W02A2	Z82286.1
MtDNA	X54252.1
FO080776.1	ZC155
F23C11	Z68133.2
F29B9	FO081255.1
F14D12	FO080820.1
FO080950.1	Y71G10AL
F48C5	Z68107.2
K11E4	Z70211.2
C11D2	FO080505.1
FO081607.1	T27B1
C42C1	CU457741.1
FO081305.1	K07G6
C38C3	FO080816.1
FO080652.1	W03F8
Z29116.3	ZK507
FO081415.1	Y92H12A
F28C12	Z93380.1
B0034	FO080103.2
F25H5	Z81068.1
C03B1	FO080304.2
AL031628.2	Y102A5D
C45G7	FO080655.1
C30B5	FO080719.2
K11H3	Z22180.3
F21D5	Z54271.1
Z75714.1	ZC434
F57G8	Z83111.1
FO080872.2	Y38F2AR
FO081676.1	Y68G5A
C32B5	FO080745.2
T06E4	Z70756.1
C06E7	FO080387.1
AL032656.3	Y106G6E
FO080823.2	T20H9
M176	Z78412.3
F07A5	Z72506.2
Z79604.2	ZK662
FO081775.1	W10G11
DH11	Z49126.1
FO080207.1	Y25C1A
F40H3	FO080721.1
FO081523.1	Y44C4A
F25B4	FO080538.1
FO081760.1	Y44E3A
C01B12	FO080084.1
Y57G11A	Z99279.1
F35F10	FO080580.1
F46B6	Z70780.2
Z93398.1	ZK1151
FO081282.1	Y39D8C
T23G7	Z68319.2
F38B2	Z50045.1
C54G10	Z75532.1
C13F10	FO080355.2
Z22181.2	ZK632
B0310	FO080169.1
FO081168.1	Y38A10A
T24C2	Z68120.1
FO081547.1	ZC449
FO080988.1	H10E21
T24D3	Z68121.1
FO080812.1	M70
F28D9	Z81518.1
FO080184.2	T22F7
T22C1	Z75550.1
E01F3	Z93376.2
FO080190.1	R173
C50F2	FO080915.2
FO081610.2	K08D12
W10G6	Z81140.2
T01G1	Z92811.1
C01C10	FO080255.1
F21F3	FO081197.1
FO081521.1	H14E04
R09H10	Z77134.1
FO080895.1	T12B3
F25A2	FO081215.1
F15C11	Z71260.1
F20B6	FO081186.1
C33H5	FO080768.1
CC4	Z81490.2
F14B8	FO080573.2
F21H11	FO081200.1
W05H5	Z81139.1
FO080120.2	M57
R13H4	Z81579.1
AL033511.1	Y44A6E
F56A6	FO081481.1
B0272	Z46240.1
FO081833.1	ZC97
F58H1	Z75954.1
F12F3	FO081130.1
